stock_id,exp_id,fragB_smiles,oligomer_smiles
SP224,,Brc1ccc(C#Cc2ccc(Br)cc2)cc1,CC1(C)c2ccccc2-c2ccc(-c3ccc(C#Cc4ccc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)cc4)cc3)cc21
SP227,,Brc1ccc(C(=C(c2ccccc2)c2ccccc2)c2ccc(Br)cc2)cc1,CC1(C)c2ccccc2-c2ccc(-c3ccc(C(=C(c4ccccc4)c4ccccc4)c4ccc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)cc4)cc3)cc21
SP228,,CCCCCCC(CCCCCC)=C1c2cc(Br)ccc2-c2ccc(Br)cc21,CC(C)=C1c2cc(-c3ccc4c(c3)C(C)(C)c3ccccc3-4)ccc2-c2ccc(-c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc21
SP229,,Brc1ccc2c(c1)C1(c3cc(Br)ccc3-2)c2cccnc2-c2ncccc21,CC1(C)c2ccccc2-c2ccc(-c3ccc4c(c3)C3(c5cc(-c6ccc7c(c6)C(C)(C)c6ccccc6-7)ccc5-4)c4cccnc4-c4ncccc43)cc21
SP230,,Brc1cccc2c1-c1ccccc1C21c2ccccc2-c2c(Br)cccc21,CC1(C)c2ccccc2-c2ccc(-c3cccc4c3-c3ccccc3C43c4ccccc4-c4c(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)cccc43)cc21
SP231,,Nc1c(N)c(Br)c(F)c(F)c1Br,CC1(C)c2ccccc2-c2ccc(-c3c(N)c(N)c(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)c(F)c3F)cc21
SP232,,O=[N+]([O-])c1c(Br)c(F)c(F)c(Br)c1[N+](=O)[O-],CC1(C)c2ccccc2-c2ccc(-c3c(F)c(F)c(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)c([N+](=O)[O-])c3[N+](=O)[O-])cc21
SP233,,Brc1ccc2[nH]c3ccc(Br)cc3c2c1,CC1(C)c2ccccc2-c2ccc(-c3ccc4[nH]c5ccc(-c6ccc7c(c6)C(C)(C)c6ccccc6-7)cc5c4c3)cc21
SP234,,Brc1ccc2c(c1)c1cc(Br)ccc1n2-c1ccccc1,CC1(C)c2ccccc2-c2ccc(-c3ccc4c(c3)c3cc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)ccc3n4-c3ccccc3)cc21
SP235,,CC(C)(C)c1cc(Br)c2[nH]c3c(Br)cc(C(C)(C)C)cc3c2c1,CC(C)(C)c1cc(-c2ccc3c(c2)C(C)(C)c2ccccc2-3)c2[nH]c3c(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)cc(C(C)(C)C)cc3c2c1
SP238,,CCCCCCCn1c2ccc(Br)cc2c2cc(Br)ccc21,Cn1c2ccc(-c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc2c2cc(-c3ccc4c(c3)C(C)(C)c3ccccc3-4)ccc21
SP239,,CCCCC(CC)Cn1c2ccc(Br)cc2c2cc(Br)ccc21,CC(C)Cn1c2ccc(-c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc2c2cc(-c3ccc4c(c3)C(C)(C)c3ccccc3-4)ccc21
